                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 0.5344,                0.47725,                 1.0068,                0.95632,                0.96359,                0.96402,                0.87768,                0.36635,                0.40217,                0.88507,             0.00035786,             0.00035786,             0.00035786
                     56,                 0.4052,                0.45641,                0.92098,                0.95469,                0.95864,                 0.9655,                 0.8877,                 0.3574,                0.41055,                0.87616,             0.00033765,             0.00033765,             0.00033765
                     57,                0.43647,                0.45144,                0.94149,                 0.9735,                0.92325,                0.96232,                0.88823,                0.35156,                0.42012,                0.87104,             0.00031744,             0.00031744,             0.00031744
                     58,                0.37287,                0.38471,                0.90003,                0.94316,                0.94165,                0.95994,                0.89516,                0.33275,                0.39768,                0.86938,             0.00029723,             0.00029723,             0.00029723
                     59,                0.42733,                0.49164,                0.97004,                 0.9364,                0.92321,                0.95601,                0.88348,                0.33189,                0.38677,                0.87159,             0.00027702,             0.00027702,             0.00027702
                     60,                0.39838,                0.41769,                0.93004,                0.94278,                0.92798,                0.96188,                0.90357,                 0.3356,                0.36992,                0.88085,             0.00025681,             0.00025681,             0.00025681
                     61,                0.71627,                 1.0833,                 1.3186,                0.90243,                0.95109,                0.96238,                0.88782,                0.35252,                 0.3714,                0.88944,              0.0002366,              0.0002366,              0.0002366
                     62,                0.35089,                0.36843,                0.87758,                0.95869,                0.90338,                0.96031,                0.88257,                0.36718,                0.36975,                 0.9012,             0.00021639,             0.00021639,             0.00021639
                     63,                0.33705,                0.37939,                0.84856,                0.95412,                0.92321,                0.96226,                0.88467,                0.37833,                0.37152,                0.89715,             0.00019618,             0.00019618,             0.00019618
                     64,                0.38619,                0.50343,                0.92496,                0.95487,                0.91369,                0.96418,                0.88539,                0.36344,                0.37352,                0.88287,             0.00017597,             0.00017597,             0.00017597
                     65,                0.29344,                0.32907,                0.83668,                0.97968,                0.93137,                0.96967,                 0.8945,                0.34518,                0.36361,                0.87404,             0.00015576,             0.00015576,             0.00015576
                     66,                0.31591,                0.31457,                0.85311,                0.94671,                0.92232,                0.97903,                0.91043,                0.32056,                0.35968,                0.86223,             0.00013555,             0.00013555,             0.00013555
                     67,                0.28569,                0.29953,                0.82833,                0.93826,                0.93629,                0.97678,                0.90721,                0.31713,                0.36125,                 0.8636,             0.00011534,             0.00011534,             0.00011534
                     68,                 0.3194,                0.38464,                0.87357,                0.93603,                0.93322,                0.97747,                0.91269,                0.31622,                0.36161,                0.86208,             9.5131e-05,             9.5131e-05,             9.5131e-05
                     69,                0.29603,                0.30493,                 0.8475,                0.92074,                0.93018,                 0.9755,                0.90476,                0.31946,                0.36765,                0.86311,              7.492e-05,              7.492e-05,              7.492e-05
                     70,                0.33434,                0.44782,                0.87472,                0.94136,                0.91724,                0.97549,                0.90254,                0.32405,                0.36244,                0.86287,              5.471e-05,              5.471e-05,              5.471e-05
