                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.50569,                 0.6327,                0.97209,                0.94033,                0.86184,                0.95398,                0.83337,                0.47768,                0.64825,                0.96464,              0.0011508,              0.0011508,              0.0011508
                     62,                0.49516,                0.53899,                0.96624,                0.93212,                0.93631,                 0.9651,                0.86127,                 0.4318,                0.45108,                0.92308,              0.0011461,              0.0011461,              0.0011461
                     63,                0.51765,                0.59387,                0.98754,                0.89632,                 0.9313,                0.95495,                0.85373,                0.40541,                0.48234,                0.90147,              0.0011413,              0.0011413,              0.0011413
                     64,                0.49925,                0.53397,                0.96126,                0.94236,                0.88884,                0.95408,                0.85411,                 0.3869,                0.46032,                0.89417,              0.0011366,              0.0011366,              0.0011366
                     65,                0.46734,                0.66965,                 0.9329,                0.92585,                0.84821,                0.93928,                0.84765,                0.38198,                0.46428,                0.88904,              0.0011319,              0.0011319,              0.0011319
                     66,                0.54244,                 0.7569,                0.99666,                0.91859,                0.85298,                0.92541,                0.83346,                 0.4139,                0.48301,                0.89384,              0.0011272,              0.0011272,              0.0011272
                     67,                0.54793,                 1.0828,                 1.0146,                0.93839,                0.80882,                0.91232,                0.82338,                0.41411,                0.52095,                0.89589,              0.0011225,              0.0011225,              0.0011225
                     68,                0.47209,                0.49117,                0.94212,                0.91654,                0.80635,                0.92218,                0.85431,                0.39901,                 0.5164,                0.89554,              0.0011178,              0.0011178,              0.0011178
                     69,                0.47041,                0.48763,                0.94701,                0.89394,                0.92374,                0.95907,                0.85505,                0.39714,                0.50179,                0.90439,               0.001113,               0.001113,               0.001113
                     70,                0.53002,                0.62721,                0.99725,                 0.9527,                0.94527,                0.97136,                0.87747,                0.39275,                0.44976,                0.89996,              0.0011083,              0.0011083,              0.0011083
                     71,                0.47882,                0.50104,                0.97534,                0.95185,                0.93949,                0.97177,                0.86799,                0.39101,                0.44083,                0.89611,              0.0011036,              0.0011036,              0.0011036
                     72,                0.52854,                0.53955,                 0.9704,                0.89983,                0.94213,                0.97367,                0.85125,                0.43132,                0.44886,                0.92021,              0.0010989,              0.0010989,              0.0010989
                     73,                0.64671,                0.83479,                 1.1339,                0.91163,                0.89571,                0.96086,                0.84453,                0.44731,                0.50478,                0.93432,              0.0010942,              0.0010942,              0.0010942
                     74,                0.50603,                0.58981,                0.97943,                0.92465,                0.88331,                0.95281,                0.84181,                0.45562,                0.53663,                0.94222,              0.0010895,              0.0010895,              0.0010895
                     75,                0.47686,                0.48083,                0.93363,                 0.9326,                0.87738,                0.95729,                0.86285,                0.43724,                 0.5021,                0.92544,              0.0010848,              0.0010848,              0.0010848
                     76,                0.47623,                0.50526,                0.95268,                0.91695,                0.90021,                0.95246,                0.87553,                  0.406,                0.43399,                0.91903,                0.00108,                0.00108,                0.00108
                     77,                0.50171,                0.55042,                0.96842,                0.92569,                0.88333,                0.94109,                0.85099,                0.40223,                0.44851,                0.90513,              0.0010753,              0.0010753,              0.0010753
                     78,                0.47603,                0.45804,                0.94723,                0.87978,                0.86462,                0.90376,                0.82302,                0.40438,                0.67562,                 0.9086,              0.0010706,              0.0010706,              0.0010706
                     79,                0.46393,                0.57243,                0.94911,                0.80792,                0.90411,                0.92356,                0.83586,                0.41215,                0.62606,                0.90641,              0.0010659,              0.0010659,              0.0010659
                     80,                0.42478,                0.41403,                0.92376,                0.82695,                0.91657,                0.93675,                 0.8555,                0.40629,                0.55857,                0.89914,              0.0010612,              0.0010612,              0.0010612
                     81,                0.48074,                0.58144,                0.99292,                0.94337,                0.86685,                0.95547,                0.86774,                0.39593,                0.44923,                 0.9006,              0.0010565,              0.0010565,              0.0010565
                     82,                0.47686,                 0.4622,                0.96868,                0.94412,                 0.9506,                0.97816,                0.89327,                0.39327,                0.41993,                0.89897,              0.0010517,              0.0010517,              0.0010517
                     83,                0.44026,                0.44919,                 0.9462,                  0.945,                0.92024,                0.97851,                0.89391,                0.38462,                0.42241,                0.90012,               0.001047,               0.001047,               0.001047
                     84,                 0.5048,                0.50447,                0.97056,                0.95412,                0.85299,                0.96847,                0.86192,                0.41785,                0.56644,                0.91439,              0.0010423,              0.0010423,              0.0010423
                     85,                0.43147,                0.47247,                0.93613,                0.95616,                0.91389,                0.96769,                0.85932,                0.45923,                0.57109,                0.91932,              0.0010376,              0.0010376,              0.0010376
                     86,                0.43593,                 0.4893,                0.92047,                0.95428,                0.93869,                0.97326,                0.88528,                0.41179,                0.50354,                0.89732,              0.0010329,              0.0010329,              0.0010329
                     87,                0.45431,                0.55365,                0.96793,                0.91603,                0.94107,                0.96838,                0.90072,                0.35586,                0.59143,                0.88601,              0.0010282,              0.0010282,              0.0010282
                     88,                0.56175,                 0.5528,                 1.0248,                0.91074,                0.93273,                0.95899,                0.88471,                0.38344,                0.59511,                0.88933,              0.0010234,              0.0010234,              0.0010234
                     89,                 0.4655,                0.57338,                0.93789,                0.90324,                0.92521,                 0.9612,                0.87226,                0.41685,                0.56372,                0.89815,              0.0010187,              0.0010187,              0.0010187
                     90,                0.50733,                0.60362,                 1.0029,                0.90905,                0.91544,                0.95841,                0.84833,                 0.4689,                0.55862,                0.92456,               0.001014,               0.001014,               0.001014
